序號,疵點,允差
1,（打釘／打鈕）位置欠佳,不接受
2,欠打釘,不接受
3,袋內有毛頭/碎石,不接受
4,長短腳,不接受
5,扭髀,不接受
6,氧化痕,不接受
7,扣件刮手/不牢,不接受
8,吊牌字體 / 條碼遮擋,不接受
9,袋布未熨,不接受
10,雞紙未清,不接受
11,錯碼,不接受
12,錯（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
13,漏（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
14,鬆脫（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
15,損壞（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
16,倒轉（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
17,錯/漏/鬆脫 (條碼;貼紙),不接受
18,錯膠袋,不接受
19,錯包裝方法,不接受
20,錯配比,不接受
21,串色,不接受
22,串碼,不接受
23,數量不符,不接受
24,紙箱規格不符,不接受
25,紙箱破損,不接受
26,變形,不接受
27,箱嘜錯漏,不接受
28,污漬,不接受
29,油漬,不接受
30,粉痕,不接受
31,沾色,不接受
32,鏽漬,不接受
33,起鏡,不接受
34,起皺,不接受
35,燙痕,不接受
36,變形,不接受
37,定型欠佳,不接受
38,線頭,不接受
39,雜毛,不接受
40,雜線,不接受
41,浮線,不接受
42,漏膠墊,不接受
43,掉漆（鈕扣/撞釘/拉鍊/雞眼）,不接受
44,拉鍊掉牙,不接受
45,錯色（鈕扣/撞釘/拉鍊/雞眼）,不接受
46,錯規格（鈕扣/撞釘/拉鍊/雞眼）,不接受
47,氧化（鈕扣/撞釘/拉鍊/雞眼）,不接受
48,損壞（鈕扣/撞釘/拉鍊/雞眼）,不接受
49,鬆脫（鈕扣/撞釘/拉鍊/雞眼）,不接受
50,變形（鈕扣/撞釘/拉鍊/雞眼）,不接受
