序號,疵點,允差
1,錯色（鈕扣/撞釘/拉鍊/雞眼）,不接受
2,錯規格（鈕扣/撞釘/拉鍊/雞眼）,不接受
3,掉漆（鈕扣/撞釘/拉鍊/雞眼）,不接受
4,掉牙（鈕扣/撞釘/拉鍊/雞眼）,不接受
5,氧化（鈕扣/撞釘/拉鍊/雞眼）,不接受
6,損壞（鈕扣/撞釘/拉鍊/雞眼）,不接受
7,鬆脫（鈕扣/撞釘/拉鍊/雞眼）,不接受
8,變形（鈕扣/撞釘/拉鍊/雞眼）,不接受
9,漏膠墊（鈕扣/撞釘/拉鍊/雞眼）,不接受
10,起鏡,不接受
11,起皺,不接受
12,燙痕,不接受
13,變形,不接受
14,尺寸差異,不接受
15,錯碼,不接受
16,線頭,不接受
17,雜毛,不接受
18,雜線,不接受
19,浮線,不接受
20,污漬,不接受
21,油漬,不接受
22,銹漬,不接受
23,粉痕,不接受
24,沾色,不接受
25,磅重差異,不接受
26,錯（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
27,漏（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
28,鬆脫（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
29,損壞（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
30,倒轉（洗水嘜/防盜嘜/掛卡/皮牌）,不接受
31,錯（條碼/貼紙）,不接受
32,漏（條碼/貼紙）,不接受
33,鬆脫（條碼/貼紙）,不接受
34,錯膠袋,不接受
35,錯配比,不接受
36,串色,不接受
37,串碼,不接受
38,數量不符,不接受
39,紙箱規格不符,不接受
40,紙箱破損,不接受
41,紙箱變形,不接受
42,箱嘜錯漏,不接受
